,Доходы гостиниц и аналогичных средств размещения,Число гостиниц и средств размещения,Численность размещенных лиц в гостиницах и ананлогичных средствах размещения,Число ночевок в гостиницах и ананлогичных средствах размещения,"Средняя численность работников, включая внешних совместителей",Число туристских фирм,"Средства, поступившие от реализации туристкого продукта",Число реализованных турпакетов населению
403,-1.6814695093119099,-1.5641447368421053,-1.8478626004094583,-1.818842713849833,-1.18167580266249,-1.2011019283746556,-1.8396608932582779,-1.710753191026645
404,-1.5680042303339188,-0.955592105263158,-1.5001674949984942,-1.5758640060264564,,-1.2011019283746556,-1.8062834974191695,-1.8039454038403027
405,-1.556937855847201,-0.930921052631579,-1.4923062894080132,-1.4032749709232253,,-1.0840220385674932,-1.7382536572243996,-1.8035953061781942
406,-1.5398349970475202,-0.7335526315789473,-1.4485358194182147,-1.424418817593673,,-0.9944903581267217,-1.6445647992265597,-1.7592274294592005
407,-1.474392984423915,-0.824013157894737,-1.4960413986941226,-1.4788636348660236,,-1.256198347107438,-1.7583205394405117,-1.805667411232927
408,,,,,,,,
409,,,,,,,,
410,,,,,,,,
411,,,,,,,,
412,,,,,,,,
413,,,,,,,,
414,,,,,,,,
415,,,,,,,,
416,,,,,,,,
417,-1.1040597613822083,-1.506578947368421,-0.9298061726867599,-0.9377695738577032,,,,
418,-0.9380485405664067,-1.2845394736842106,-0.881468983661359,-0.8566685171570962,-0.9545810493343776,-0.8016528925619835,-1.8429448280786513,-1.627231243366359
419,-0.9403697141050309,-1.2351973684210527,-1.0443622467440608,-0.8357207673848137,-0.8488645262333594,-0.4986225895316805,-1.8046368657857585,-1.679036140638432
420,-0.9091309412693873,-0.980263157894737,-1.0342571042390825,-0.7494635401418732,-0.15191855912294416,-0.4986225895316805,-1.5191092571430203,-1.689274131730358
421,-0.7407075375719248,-0.8980263157894737,-0.8857117720387233,-0.7284716026311124,,-0.9738292011019285,-1.8371198566128142,-1.8552771961635806
422,-0.7935656233750243,-0.7828947368421053,-0.7375049898335788,-0.7899878251181212,,-0.5123966942148761,-1.7795805514020677,-1.739697657172939
